Flow_Duration,Total_Fwd_Packets,Total_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Mean,Bwd_Packet_Length_Max,Bwd_Packet_Length_Mean,Flow_Bytes_s,Flow_Packets_s,Flow_IAT_Mean,Fwd_IAT_Mean,Fwd_PSH_Flags,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,ACK_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Init_Win_bytes_forward,Active_Mean,Idle_Mean,Label,Is_Anomaly
1151784.0296384543,3,5,152.2402753524088,63.374169713879645,1539.8541986459757,379.60506724474186,6760.781203313454,71.29434031643223,55055.511946120445,67329.91426479236,0,0,1,0,0,1.7095123841922248,414.5158729429486,8192,65381.135841932846,4956170.45222864,Benign,0
4648.969632619287,6,1,176.604148603201,49.9825705258438,1096.7837732439714,526.4047665840483,18984.59825399499,135.658592307648,159082.18730342961,67081.92673040494,1,0,0,0,1,0.660199532985446,80.89248474192976,29200,36651.26255230255,5082511.839412276,Benign,0
13043.23393420377,8,4,142.2917512014912,55.77695948715921,851.1495735890176,537.2614269409871,52590.2331687087,75.29325630385101,25017.246096508843,47177.58076499396,0,0,0,0,1,1.3718872731875675,464.85894723118946,65535,43525.916573612005,3512685.154832992,Benign,0
22080.02310991999,6,1,87.42822471080449,54.259430069366736,1153.6253588013028,423.30883511745355,10709.573866566616,146.08512609355344,54898.696982337875,30744.01928598192,0,0,0,0,1,0.3643130662525157,480.2626953609214,65535,45090.110614316814,6623763.206869105,Benign,0
110359.61140371654,4,2,144.29445157756075,58.54616040960921,1028.9075610685068,429.82470462432195,16151.190809651845,299.11565969468705,27080.065433278072,156827.46412201156,0,0,1,0,1,0.9130969895648318,98.2816590752677,29200,39848.68207645884,5626476.299117438,Benign,0
5492.644673830858,5,2,192.29726315150518,54.25154797211042,1116.4709910995143,397.60648674395395,14601.264879145523,11.902955118722845,135491.2357125513,43355.98158228374,0,0,0,0,1,1.117073806936538,512.4238239208303,8192,54758.68918804569,3613098.0086455755,Benign,0
31364.182533115843,3,2,145.0422628505798,54.80868304187607,636.59126209938,345.8118859994263,3977.847485621701,73.84176740794469,22931.592736947972,134133.77151907838,0,0,0,0,1,1.1287036536021453,584.3751233783526,29200,54348.78667661706,4372554.645967962,Benign,0
27561.747617571764,5,4,127.43149354679929,51.87054906781654,537.7169724170069,313.6722662008958,52653.76688602056,324.83470545969567,43190.48030087836,74090.7112360182,0,0,0,0,1,1.545291820854449,423.45049766336535,8192,42479.371257930994,5959353.6889454825,Benign,0
61378.72808625344,10,4,128.91892984395835,56.90931272699096,1055.4037297511247,472.0327026195071,6400.443087475592,12.670859724079138,49056.84227887258,122884.75807296505,0,0,0,0,1,1.592487428134357,283.92424243113635,29200,57159.23483236235,5465028.298090496,Benign,0
20265.565656584746,4,8,126.39899587199054,52.19233150902752,668.461525923191,257.1740525179548,2093183.0641869071,43.14049626237358,254902.3076342385,282642.23930493294,0,0,1,0,0,1.858718425487794,173.46553695976058,8192,52237.78525435425,5037570.51823908,Benign,0
