Thread_Count,Handle_Count,CPU_Usage_Pct,Mem_Working_Set_MB,Page_Faults_Rate,IO_Read_Ops_s,IO_Write_Ops_s,IO_Read_Bytes_s,IO_Write_Bytes_s,Syscall_Rate,File_Open_Count_s,File_Delete_Count_s,File_Write_Entropy_Avg,Child_Processes_Spawned,Network_Conns_Per_Proc,Label,Is_Anomaly
5,246,0.5898974880139709,39.85280474593139,157,2.7352277759513375,37.97741703257208,22855.649853690127,2989.294223988591,177.42039321835398,6,1,2.5473765871818332,0,1,Benign,0
14,233,2.3414345708621505,42.30107154972782,172,110.12293560716213,2.8377522966829893,19151.023866762098,6.7173073991057395,779.6853797749519,9,0,3.3443392540795847,0,0,Benign,0
15,202,2.1842555690489536,9.45117244216123,149,8.471317583714807,0.7552878341645554,19567.78800070343,39813.171223438454,7906.04276688461,6,0,3.3211472542695004,0,1,Benign,0
14,147,0.42987987205177075,52.965868680505594,143,0.388452245272803,3.6289698170455953,2855.1698120595156,1343.4867046418321,1041.4992498899248,7,0,4.064756461231573,0,1,Benign,0
13,391,2.0577292243100342,5.043984110204972,131,44.587890009597196,7.0124791724906,30080.076228552247,12749.267106506642,95.05278107858274,6,0,3.8060366434061828,0,0,Benign,0
13,132,0.2667273300496008,169.5643547498294,140,2.517554830388205,8.084841547688459,904894.4755519653,408893.3664854885,341.40387498421904,4,0,5.202694324226501,0,1,Benign,0
16,5018,0.9684940449382462,12.941038878927062,128,2.5280941963456542,1.005549434159314,66850.84670413965,55.22153347486448,946.7540718294644,4,0,4.081897551919308,0,1,Benign,0
13,1636,5.4877402568022635,28.83018297934152,142,125.60954190815367,1.3295117546181778,346908.4642804041,40917.729304165514,1008.2537468567135,7,0,0.4229158358585976,0,0,Benign,0
18,76,0.9865780193193969,28.959603170171942,177,0.5912070728950585,1.3150225025287756,520.45801701175,2155.10881582437,413.7937735318433,5,0,3.236045103366131,0,0,Benign,0
12,213,1.1497767206230374,8.104104801813245,160,18.046971929370486,131.43665591606987,860.7778693802807,30161.153936443192,267.8923618820135,6,0,3.291678571410015,0,0,Benign,0
9,1093,2.774955442984704,2.8427005140210664,145,259.58805970421344,1.0805129217709046,17.871967069101764,172.40558113997488,6337.260468203494,6,0,1.795463819217731,0,0,Benign,0
18,92,6.091275299271564,26.954500337494416,164,2.4862154187005925,2.880172578074233,249.77022872653257,17115.164793564207,5857.922495474303,7,0,3.1740392974095815,0,0,Benign,0
9,1544,0.6007807729496959,84.46319391853932,166,13.87694188558557,45.59914615672554,14039.038641148645,1719.9699492301386,227.82199963745248,5,0,2.909110570299759,0,1,Benign,0
16,147,0.5571560219403514,312.8462294346629,157,10.222014115047084,37.41717748394212,13697.739303004997,29629.887765823085,278.6714199542216,5,0,3.3448400542594996,1,0,Benign,0
9,31,2.217545086431819,16.942596471604656,140,2.0776146517332448,2.3557242718345215,768337.5351675135,17745.183379763042,368.89513548110284,8,0,2.045076189713127,0,1,Benign,0
9,657,1.1514465076683789,390.2736894006579,174,5.92359979985566,6.186608937733879,9447.150883432947,5153.546384002095,8909.83712211653,6,1,3.75030211972681,0,0,Benign,0
10,117,1.1405794255521584,24.222888170310906,171,114.03969023562824,3.860983193611087,15769.84352271278,7307.2723373915915,658.2205356435855,5,0,3.304958203523034,0,0,Benign,0
7,2721,34.919689861807186,42.170903193952476,7867,1.2969777068324908,3.4343616828954997,42.083051853643006,143.24184303573435,4984.901584867515,0,0,4.054070275304659,5,1,Attack_CodeInjection,1
12,100,1.3839514010264566,26.260404982125266,144,1.94972657208111,10.2742337380995,1627.1702032483886,360.9100788723322,56.54502081247363,5,0,3.216402412167919,0,1,Benign,0
15,49,3.1838719434608858,30.604867074126254,132,10.888030716124147,4.098485762157426,521812.3124415782,18.368507354255897,1659.239503153599,3,0,3.3706854827635224,0,0,Benign,0
